ID,Product,Count,Price
1,Toothpaste,73324,13.54
2,Ice Cream,37094,84.65
3,Soap,37076,41.78
4,Jam,36956,3
5,Orange,36928,0.87
6,Soda,36924,1.05
7,Deodorant,36910,7.14
8,Cleaning Rags,36870,2.39
9,Air Freshener,36846,9.75
10,Peanut Butter,36818,9.51
11,Banana,36813,13.17
12,Baby Wipes,36794,4.87
13,Cleaning Spray,36774,32.65
14,Laundry Detergent,36769,3.79
15,Yogurt,36764,15.18
16,Plant Fertilizer,36757,16.06
17,Ironing Board,36755,8.8
18,Carrots,36747,8.37
19,Mustard,36746,4.55
20,Bath Towels,36735,17.23
21,Beef,36722,15.54
22,Chips,36721,3
23,Honey,36717,45.01
24,Shampoo,36703,6.43
25,Milk,36700,3.43
26,Insect Repellent,36676,13.81
27,Extension Cords,36669,4.58
28,Sponges,36668,11.7
29,Tomatoes,36667,2.35
30,Pasta,36666,7.74
31,Coffee,36664,7.49
32,Shaving Cream,36661,16.34
33,Eggs,36653,3.93
34,Trash Cans,36647,8.86
35,Onions,36645,10.71
36,Olive Oil,36638,36.95
37,BBQ Sauce,36626,11.88
38,Light Bulbs,36624,7.92
39,Garden Hose,36620,2
40,Rice,36619,5.67
41,Potatoes,36612,15.46
42,Cheese,36605,10.22
43,Salmon,36592,8.24
44,Feminine Hygiene Products,36587,3.24
45,Pancake Mix,36580,12.23
46,Lawn Mower,36576,8.62
47,Pickles,36556,11.85
48,Cereal Bars,36554,1.07
49,Hair Gel,36553,5.47
50,Diapers,36550,10.38
51,Tuna,36544,14.13
52,Mop,36539,4.13
53,Vacuum Cleaner,36525,3.85
54,Toothbrush,36501,12.32
55,Dishware,36501,23.81
56,Dish Soap,36488,1.64
57,Mayonnaise,36482,6.99
58,Razors,36465,4.5
59,Ketchup,36462,3.09
60,Shower Gel,36452,8.28
61,Hand Sanitizer,36450,6.91
62,Vinegar,36398,15.48
63,Tea,36398,20.51
64,Shrimp,36398,10.82
65,Butter,36392,1.98
66,Syrup,36385,6.85
67,Broom,36380,16.3
68,Iron,36378,14.09
69,Paper Towels,36346,5.71
70,Power Strips,36342,3.39
71,Apple,36341,4.2
72,Tissues,36330,18.81
73,Spinach,36322,6.92
74,Bread,36307,23.09
75,Cereal,36290,6.73
76,Toilet Paper,36290,23.22
77,Dustpan,36289,3.59
78,Chicken,36260,5.77
79,Water,36217,1.09
80,Canned Soup,36213,1.03
81,Trash Bags,36187,6.84
